Driver ID,Name,Age,Gender,Years of Driving Experience,Location,Occupation,Marital Status,Socioeconomic Status,Driver's License,Accident Type,Accident Location,Date,Time,Weather Conditions,Road Conditions,Accident Severity,Average Speed,Traffic Signal Violations,Distracted Driving Frequency,Traffic Violations,Training Programs,Training Hours,Certifications,Vehicle Type,Vehicle Make,Vehicle Model,Vehicle Year,Road Type,Speed Limit,Traffic Signs Present,Road Conditions,Distance Traveled (km),Seatbelt Usage
648,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,10/04/2023,10:00,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
649,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,7/15/2017,13:15,Rainy,Wet,Property Damage,60,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
650,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,06/12/2017,9:30,Sunny,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
651,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,01/08/2014,12:45,Cloudy,Wet,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
652,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,1/22/2016,9:30,Rainy,Wet,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
653,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,11/20/2017,12:45,Sunny,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
654,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,5/15/2017,10:00,Clear,Dry,Property Damage,55,0,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
655,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,9/19/2023,13:15,Rainy,Wet,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
656,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,4/20/2018,9:30,Sunny,Dry,Property Damage,55,0,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
657,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,7/13/2015,12:45,Cloudy,Wet,Property Damage,60,1,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
658,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,08/02/2016,9:30,Rainy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
659,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,12/14/2017,12:45,Sunny,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
660,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,10/24/2018,10:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
661,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,3/16/2019,13:15,Rainy,Wet,Property Damage,55,1,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
662,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,11/29/2018,9:30,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
663,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,05/06/2020,12:45,Cloudy,Wet,Property Damage,60,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
664,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,01/04/2020,9:30,Rainy,Wet,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
665,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,7/31/2017,12:45,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
666,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,2/20/2019,10:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
667,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,8/18/2020,13:15,Rainy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
668,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,06/05/2018,9:30,Sunny,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
669,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,9/24/2022,12:45,Cloudy,Wet,Property Damage,60,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
670,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,04/12/2018,9:30,Rainy,Wet,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
671,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,6/16/2015,12:45,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
672,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,11/10/2021,10:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
673,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,2/26/2019,13:15,Rainy,Wet,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
674,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,09/04/2018,9:30,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
675,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,07/07/2020,12:45,Cloudy,Wet,Property Damage,60,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
676,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,1/15/2018,9:30,Rainy,Wet,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
677,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,5/24/2022,12:45,Sunny,Dry,Property Damage,60,0,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
678,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,01/09/2019,10:00,Clear,Dry,Property Damage,55,1,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
679,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,3/25/2022,13:15,Rainy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
680,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,12/28/2018,9:30,Sunny,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
681,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,05/07/2014,12:45,Cloudy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
682,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,09/10/2023,9:30,Rainy,Wet,Property Damage,55,0,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
683,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,02/11/2020,12:45,Sunny,Dry,Property Damage,60,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
684,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,6/20/2015,10:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
685,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,1/13/2014,13:15,Rainy,Wet,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
686,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,08/08/2022,9:30,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
687,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,4/27/2018,12:45,Cloudy,Wet,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
688,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,9/16/2018,9:30,Rainy,Wet,Property Damage,55,0,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
689,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,11/15/2017,12:45,Sunny,Dry,Property Damage,60,1,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
690,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,12/31/2014,10:00,Clear,Dry,Property Damage,55,0,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
691,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,3/23/2015,13:15,Rainy,Wet,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
692,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,6/26/2020,9:30,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
693,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,10/13/2020,12:45,Cloudy,Wet,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
694,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,06/08/2019,9:30,Rainy,Wet,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
695,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,01/05/2016,12:45,Sunny,Dry,Property Damage,60,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
696,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,2/17/2022,10:00,Clear,Dry,Property Damage,55,0,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
697,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,4/23/2019,13:15,Rainy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
698,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,7/18/2016,9:30,Sunny,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
699,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,11/12/2018,12:45,Cloudy,Wet,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
700,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,08/09/2017,9:30,Rainy,Wet,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
701,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,11/01/2019,12:45,Sunny,Dry,Property Damage,60,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
702,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,11/22/2017,10:00,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
703,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,6/18/2021,13:15,Rainy,Wet,Property Damage,60,0,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
704,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,10/08/2014,9:30,Sunny,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
705,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,10/22/2016,12:45,Cloudy,Wet,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
706,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,04/03/2019,9:30,Rainy,Wet,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
707,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,12/14/2016,12:45,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
708,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,03/09/2016,10:00,Clear,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
709,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,11/05/2017,13:15,Rainy,Wet,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
710,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,12/02/2015,9:30,Sunny,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
711,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,08/07/2015,12:45,Cloudy,Wet,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
712,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,4/13/2018,9:30,Rainy,Wet,Property Damage,55,0,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
713,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,11/19/2022,12:45,Sunny,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
714,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,12/15/2014,10:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
715,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,8/24/2019,13:15,Rainy,Wet,Property Damage,60,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
716,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,2/23/2016,9:30,Sunny,Dry,Property Damage,55,0,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
717,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,5/19/2015,12:45,Cloudy,Wet,Property Damage,55,1,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
718,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,9/26/2019,9:30,Rainy,Wet,Property Damage,55,0,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
719,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,6/23/2016,12:45,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
720,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,01/10/2016,10:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
721,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,12/03/2015,13:15,Rainy,Wet,Property Damage,60,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
722,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,05/11/2016,9:30,Sunny,Dry,Property Damage,55,0,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
723,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,03/01/2004,12:45,Cloudy,Wet,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
724,Imran Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,02/04/2014,9:30,Rainy,Wet,Property Damage,55,0,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
725,Amina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,12/08/2023,12:45,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
726,Ahmed Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,09/10/2022,10:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
727,Mahira Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulistan-e-Johar,03/05/2017,13:15,Rainy,Wet,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
728,Farhan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,7/25/2014,9:30,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
729,Sadia Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-8 Markaz,12/20/2016,12:45,Cloudy,Wet,Property Damage,60,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
730,Bilal Khan,35,Male,9,Karachi,Doctor,Single,Middle Class,Yes,Side Swipe Collision,Clifton,9/28/2018,9:30,Rainy,Wet,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
731,Samina Riaz,28,Female,5,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Model Town,1/25/2019,12:45,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
732,Fahad Hassan,36,Male,10,Islamabad,Teacher,Married,Upper Middle Class,Yes,Rear-end Collision,F-7,11/24/2014,10:00,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
733,Mariam Malik,27,Female,4,Karachi,Business Owner,Single,Middle Class,Yes,Side Swipe Collision,Gulshan-e-Iqbal,01/06/2015,13:15,Rainy,Wet,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
734,Hassan Raza,39,Male,12,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Mall Road,4/17/2021,9:30,Sunny,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
735,Sana Ahmed,33,Female,7,Islamabad,Engineer,Married,Upper Class,Yes,Rear-end Collision,F-6,8/29/2017,12:45,Cloudy,Wet,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
